Tahun,Bulan,Nilai (Juta US $),Berat Bersih (Ribu Ton)
2010,Januari/January,691.1,973.3
2010,Februari/February,789.9,1097.6
2010,Maret/March,767.7,1050.6
2010,April/April,729.4,972.1
2010,Mei/May,843.9,1108
2010,Juni/June,908.5,1199.2
2010,Juli/July,821.1,1085.6
2010,Agustus/August,1753,2238.9
2010,September/September,1154.6,1429.9
2010,Oktober/October,1574.4,1767.2
2010,November/November,1698.8,1742.2
2010,Desember/December,1736.6,1627.2
2011,Januari/January,1373.9,1236.7
2011,Februari/February,1037.1,879.7
2011,Maret/March,512.2,436.8
2011,April/April,1310.5,1180.6
2011,Mei/May,1966.1,1778.2
2011,Juni/June,1883.8,1693.1
2011,Juli/July,822.7,740
2011,Agustus/August,2063.7,1959.6
2011,September/September,1432.8,1375.6
2011,Oktober/October,1266.7,1277.7
2011,November/November,2040.5,2155.2
2011,Desember/December,1551.3,1717
2012,Januari/January,1586.4,1612.5
2012,Februari/February,1271.5,1275.3
2012,Maret/March,1749.6,1723.2
2012,April/April,1425.1,1347.5
2012,Mei/May,1052.6,986.2
2012,Juni/June,1118.1,1108
2012,Juli/July,1936,2012
2012,Agustus/August,1310.8,1385.1
2012,September/September,1734.7,1852.9
2012,Oktober/October,1232.3,1451
2012,November/November,1791.2,2256.4
2012,Desember/December,1393.7,1835
2013,Januari/January,1685.8,2296.6
2013,Februari/February,1426.3,1889
2013,Maret/March,1019.4,1308.9
2013,April/April,1167.7,1492.7
2013,Mei/May,1428.6,1844.2
2013,Juni/June,1311.6,1687.7
2013,Juli/July,992.7,1270.4
2013,Agustus/August,1108.7,1454.4
2013,September/September,1210.3,1587.3
2013,Oktober/October,1171.4,1539.7
2013,November/November,1921.9,2456.4
2013,Desember/December,1394.7,1750.9
2014,Januari/January,1192.3,1465.3
2014,Februari/February,1475.9,1849.7
2014,Maret/March,1720.4,2075.9
2014,April/April,837,991.7
2014,Mei/May,1647.7,1967.5
2014,Juni/June,1577.6,1918.1
2014,Juli/July,1637.7,2071.4
2014,Agustus/August,1301.6,1694.3
2014,September/September,1365.7,1938
2014,Oktober/October,1832.8,2734.8
2014,November/November,1482.7,2144.4
2014,Desember/December,1392.6,2041.3
2015,Januari/January,1247.2,1890.3
2015,Februari/February,1162.2,1810.1
2015,Maret/March,1264,1986
2015,April/April,1519.6,2461.7
2015,Mei/May,1279.2,2089.3
2015,Juni/June,1529.8,2500
2015,Juli/July,1211.8,1993
2015,Agustus/August,1157.7,1991.9
2015,September/September,1215.3,2330
2015,Oktober/October,1307.4,2583.5
2015,November/November,1135.9,2204.5
2015,Desember/December,1464.3,2768
2016,Januari/January,1136.8,2087.4
2016,Februari/February,1139.1,2036.7
2016,Maret/March,1098.2,1850.7
2016,April/April,1231,1893.4
2016,Mei/May,1178,1698.8
2016,Juni/June,1121.7,1602.2
2016,Juli/July,1064,1585.2
2016,Agustus/August,1269.4,1896.5
2016,September/September,1292.3,1791.4
2016,Oktober/October,1605.6,2252.8
2016,November/November,1909.1,2718.6
2016,Desember/December,1919.9,2650.4
2017,Januari/January,1965.1,2575.1
2017,Februari/February,1741.1,2221
2017,Maret/March,1797.8,2360.3
2017,April/April,1574.2,2215.9
2017,Mei/May,1653.4,2403.9
2017,Juni/June,1388.7,2045.5
2017,Juli/July,1500.5,2248.7
2017,Agustus/August,1840.1,2826.8
2017,September/September,1685.3,2499
2017,Oktober/October,1677.8,2382.8
2017,November/November,1810.4,2519.8
2017,Desember/December,1706,2471.1
2018,Januari/January,1493.8,2243.2
2018,Februari/February,1512.9,2248.7
2018,Maret/March,1480.1,2162.3
2018,April/April,1387.2,2048.7
2018,Mei/May,1390.9,2085.8
2018,Juni/June,1342.6,2091.6
2018,Juli/July,1591.8,248884
2018,Agustus/August,1617.7,2724.7
2018,September/September,1602.2,2787.3
2018,Oktober/October,1619.5,28731.1
2018,November/November,1450.9,2707.8
2018,Desember/December,1406.8,2742.5
2019,Januari/January,1411.9,2797.1
2019,Februari/February,1196.6,2280.7
2019,Maret/March,1216.4,2237.6
2019,April/April,1051.1,1976.3
2019,Mei/May,1193.1,2291.2
2019,Juni/June,1086.3,2154.7
2019,Juli/July,1216.2,2462.2
2019,Agustus/August,1223.6,2450.5
2019,September/September,1379.9,2665.2
2019,Oktober/October,1329.9,2537.2
2019,November/November,1445.6,2657.8
2019,Desember/December,1805.7,3010.7
2020,Januari/January,1337.9,1883.1
2020,Februari/February,1489.1,2066
2020,Maret/March,1450,2182.8
2020,April/April,1282.4,2113.6
2020,Mei/May,1124.9,1924.7
2020,Juni/June,1258.2,2225.7
2020,Juli/July,1488.1,2527.5
2020,Agustus/August,1354.8,2152.9
2020,September/September,1531,2243.2
2020,Oktober/October,1686.9,2368.6
2020,November/November,2096.1,2743.6
2020,Desember/December,2348.6,2899.8
2021,Januari/January,2146.4,2343.3
2021,Februari/February,1446.9,1506.1
2021,Maret/March,2586,2613.9
2021,April/April,2179.9,2124.5
2021,Mei/May,2441,2318.7
2021,Juni/June,1529.6,1435
2021,Juli/July,2630.5,2560.8
2021,Agustus/August,3664.6,3509.6
2021,September/September,2430.3,2262.8
2021,Oktober/October,2990.5,2577.5
2021,November/November,2072.6,1690.9
2021,Desember/December,2487.8,1954.6
2022,Januari/January,2026,1585.7
2022,Februari/February,2026.1,1543.3
2022,Maret/March,2622.7,1831.3
2022,April/April,2487.7,1595
2022,Mei/May,456.1,257.5
2022,Juni/June,2890.1,1842.5
2022,Juli/July,2940.4,2245.4
2022,Agustus/August,3918.6,3744.5